cells_id	x	gene_ENSG00000232810	gene_ENSG00000109471	gene_ENSG00000111537	gene_ENSG00000178562	gene_ENSG00000109956	gene_ENSG00000181847	gene_ENSG00000135077	gene_ENSG00000089692	gene_ENSG00000188389	gene_ENSG00000163508	gene_ENSG00000163599	gene_ENSG00000138185	gene_ENSG00000198846	gene_ENSG00000122223
cell_626	11 years	1.5434113505943992	0	1.5434113505943992	0	0	2.488366490045257	0	0	0	0	0	0	0	0
cell_627	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_628	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5206633542356363
cell_629	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_630	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_631	11 years	0	0	0	0	0	1.5654883979499734	0	0	0	0	0	0	0	0
cell_632	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_633	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_634	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_635	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_636	11 years	0	0	0	0	0	0	0	0	0	2.2247127456554194	0	0	0	0
cell_637	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5376487135490804
cell_638	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_639	11 years	0	0	0	0	0	0	0	0	2.2101279821721276	0	0	0	0	0
cell_640	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_641	11 years	0	0	0	0	0	1.3879466333696096	0	0	0	0	0	0	0	0
cell_642	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_643	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_644	11 years	1.2944549723379901	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_645	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_646	11 years	0	0	1.4821766188970353	0	0	0	0	0	0	0	0	0	0	0
cell_647	11 years	0	0	0	2.232105497674625	0	0	0	0	0	0	0	0	0	0
cell_648	11 years	2.325399770760217	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_649	11 years	1.98640864111952	0	1.98640864111952	0	1.98640864111952	0	0	0	0	0	0	0	0	0
cell_650	11 years	1.3890757949747163	0	0	1.3890757949747163	0	0	0	0	0	0	0	0	0	0
cell_651	11 years	1.5134402842056265	0	1.5134402842056265	0	1.5134402842056265	0	0	0	0	0	0	0	0	0
cell_652	11 years	0	0	0	0	0	0	0	0	0	1.2315671987304346	0	0	0	1.2315671987304346
cell_653	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_654	11 years	0	0	0	0	0	0	0	0	0	0	0	0	1.5977019915167432	0
cell_655	11 years	0	0	0	0	0	1.852141729387025	0	0	0	0	0	0	0	0
cell_656	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_657	11 years	0	0	0	0	0	0	0	0	0	0	0	0	1.4409639230532216	0
cell_658	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_659	11 years	0	0	0	0	0	0	0	0.8941660002599853	0	0	0	0	0	0
cell_660	11 years	0	0	0	0	0	0	0	2.143603485897122	0	0	0	0	2.143603485897122	0
cell_661	11 years	1.6158688027643908	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_662	11 years	0	0	0	1.722733741372715	0	0	0	0	0	0	0	0	0	0
cell_663	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5512730881125485
cell_664	11 years	0	0	1.4885196067453481	0	0	0	0	0	0	0	0	0	0	0
cell_665	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_666	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_667	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_668	11 years	0	0	0	0	0	0	0	1.4402259247897413	0	0	0	0	0	0
cell_669	11 years	0	0	0	1.5279687096332835	0	0	0	1.5279687096332835	0	0	0	0	0	0
cell_670	11 years	0	0	0.9202388390504799	0	0	0	0	0.9202388390504799	0	0	0	0	0	0
cell_671	11 years	0	0	0	0	0	0	0	1.220509938756087	0	0	0	0	0	0
cell_672	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_673	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_674	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_675	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_676	11 years	0	0	1.3248624886817004	0	0	0	0	0	0	0	0	0	0	0
cell_677	11 years	0	0	0	0	0	1.374339512968126	0	0	0	0	0	0	0	0
cell_678	11 years	0	0	0	0	0	2.3879548330931195	0	0	0	0	0	0	0	2.3879548330931195
cell_679	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_680	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_681	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_682	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_683	11 years	0	0	0	0	0	0	0	1.8630964127387681	0	0	0	0	0	0
